"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\pc\Documents\learning flutter\social app\social_app\lib\models\user_model.dart", "Dart", 12, -9, 0, 3
"c:\Users\pc\Documents\learning flutter\social app\social_app\lib\modules\home\cubit\cubit.dart", "Dart", 76, 0, 4, 80
"c:\Users\pc\Documents\learning flutter\social app\social_app\lib\modules\home\cubit\states.dart", "Dart", 9, 0, 10, 19
"c:\Users\pc\Documents\learning flutter\social app\social_app\lib\modules\home\screens\edit_profile_screen.dart", "Dart", 359, 5, 12, 376
"c:\Users\pc\Documents\learning flutter\social app\social_app\lib\modules\home\screens\settings_screen.dart", "Dart", 13, 0, 2, 15
"Total", "-", 469, -4, 28, 493
